facility_id,facility_name,program_type,facility_status,is_active_facility,zipcode,latitude,longitude,geo_missing_flag,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,under5_capacity_current,total_capacity
799212,"The Kingsbridge Heights Community Center,  Inc.",SACC,Registration,1,10468,40.870672,-73.897589,False,0,0,0,97,0,0,97
806718,"Santos, Yenia",FDC,Registration,1,10040,40.855647,-73.931012,False,0,0,0,2,6,6,8
313300,"Done, Altagracia",GFDC,License,1,11201,40.693031,-73.978512,False,0,0,0,4,12,12,16
847603,Carmen Group Family Daycare NY Inc.,GFDC,License,1,10033,40.847889,-73.934993,False,0,0,0,0,12,12,12
555656,"Hidalgo, Janet",GFDC,License,1,10453,40.84903,-73.92071,False,0,0,0,4,12,12,16
803801,"The Playhouse Family Daycare, INC",GFDC,License,1,10463,40.880631,-73.905583,False,0,0,0,4,12,12,16
122317,YMCA of Greater NY @Staten Island Virtual Y PS 57,SACC,Registration,1,10304,40.611384,-74.083373,False,0,0,0,248,0,0,248
811701,Wonderful Kids Child Daycare Limited Liability Company,GFDC,License,1,11207,40.668626,-73.893256,False,0,0,0,4,12,12,16
791525,"Rodriguez, William",GFDC,License,1,10453,40.857467,-73.903196,False,0,0,0,4,12,12,16
772036,NIA Community Services Network @ I.S. 239,SACC,Registration,1,11224,40.578407,-73.992382,False,0,0,0,120,0,0,120
879197,My Little Angels,GFDC,License,1,11232,40.647867,-74.000058,False,0,0,0,4,12,12,16
764367,"Diaz Rodriguez, Niulka",GFDC,License,1,10451,40.825805,-73.926071,False,0,0,0,2,12,12,14
262522,"Veloz, Sobeida",GFDC,License,1,10472,40.831448,-73.87651,False,0,0,0,2,12,12,14
864867,InnovateEDU Inc,SACC,Registration,1,11201,40.70034,-73.987477,False,0,0,0,400,0,0,400
748394,"The Child Center Of NY, INC",SACC,Registration,1,11413,40.686119,-73.75724,False,0,0,0,296,0,0,296
74108,"The Hunter College Child Center, Inc.",SACC,Registration,1,10065,40.768729,-73.96518,False,0,0,0,13,0,0,13
730003,Bet-el DayCare LLC,GFDC,License,1,10458,40.872651,-73.885312,False,0,0,0,4,12,12,16
833094,"Kids Orbit, Inc. @ PS 139",SACC,Registration,1,11226,40.641065,-73.965579,False,0,0,0,55,0,0,55
73663,BMCC EARLY CHILDHOOD CENTER,SACC,Registration,1,10007,40.71724,-74.012179,False,0,0,0,17,0,0,17
839932,"Ogando, Marianelly",GFDC,License,1,10467,40.881653,-73.87618,False,0,0,0,0,10,10,10
260225,"Dubrovskiy, Yuriy",GFDC,License,1,11229,40.600776,-73.950437,False,0,0,0,4,12,12,16
539709,"Baez, Elvis",GFDC,License,1,10457,40.841364,-73.891609,False,0,0,0,4,12,12,16
634462,GRYC @ PS91 After School Program,SACC,Registration,1,11385,40.703701,-73.884122,False,0,0,0,239,0,0,239
142340,"Charcape, Norma",GFDC,License,1,11208,40.687159,-73.876631,False,0,0,0,2,12,12,14
489365,"Eduardo, Mariela",GFDC,License,1,10460,40.844503,-73.879105,False,0,0,0,0,12,12,12
705423,Liz's Day Care,GFDC,License,1,10453,40.846887,-73.917983,False,0,0,0,4,12,12,16
740771,"Little Flowers Family Group, Inc.",GFDC,License,1,11234,40.613312,-73.94053,False,0,0,0,4,12,12,16
871903,"Evans, Mary",GFDC,License,1,11226,40.646835,-73.962972,False,0,0,0,4,12,12,16
454038,"Hamrajh, Shampawattie",GFDC,License,1,11418,40.694624,-73.835657,False,0,0,0,2,12,12,14
740786,"Diaz, Auria",FDC,Registration,1,10467,40.875775,-73.878129,False,0,0,0,2,6,6,8
682181,University Settlement Society of New York- PS 133,SACC,Registration,1,11217,40.680293,-73.98047,False,0,0,0,193,0,0,193
789926,KADESH FAMILY DAY CARE,FDC,Registration,1,10030,40.81922,-73.93893,False,0,0,0,2,6,6,8
759561,"Bauza, Vivian",GFDC,License,1,10460,40.843572,-73.882261,False,0,0,0,4,12,12,16
862561,"Dayan, Adele",GFDC,License,1,11230,40.616911,-73.965473,False,0,0,0,4,12,12,16
571644,"Cortorreal, Zoila",FDC,Registration,1,10460,40.850939,-73.882572,False,0,0,0,2,6,6,8
537164,"Parra Ramirez, Julissa",GFDC,License,1,11428,40.716176,-73.75335,False,0,0,0,2,12,12,14
699289,"Tigue, Diane",GFDC,License,1,11207,40.663039,-73.89587,False,0,0,0,4,12,12,16
849814,"Rodriguez, Johanna",FDC,Registration,1,10458,40.868232,-73.892298,False,0,0,0,2,6,6,8
882470,"Santana, Julio",GFDC,License,1,10460,40.844643,-73.887546,False,0,0,0,4,12,12,16
684735,Young Dancers in Repertory OST @ JHS201,SACC,Registration,1,11228,40.6188,-74.0163,False,0,0,0,140,0,0,140
