zipcode,in_childcare,in_population,in_employment,in_income,in_potential_locations,n_facilities,n_active_facilities,existing_total_capacity,existing_under5_capacity,n_missing_geo,n_candidate_points
11219,1,1,1,1,1,91.0,91.0,2595.0,1012.0,4.0,100
11220,1,1,1,1,1,44.0,44.0,2251.0,396.0,0.0,100
11221,1,1,1,1,1,79.0,79.0,2971.0,715.0,0.0,100
11222,1,1,1,1,1,11.0,11.0,672.0,72.0,0.0,100
11223,1,1,1,1,1,19.0,19.0,1448.0,144.0,0.0,100
11224,1,1,1,1,1,17.0,17.0,1165.0,90.0,1.0,100
11225,1,1,1,1,1,53.0,52.0,1993.0,439.0,1.0,100
11226,1,1,1,1,1,80.0,80.0,3099.0,600.0,2.0,100
11228,1,1,1,1,1,13.0,13.0,1212.0,84.0,0.0,100
11229,1,1,1,1,1,36.0,36.0,1840.0,288.0,0.0,100
11230,1,1,1,1,1,28.0,28.0,824.0,312.0,0.0,100
11231,1,1,1,1,1,37.0,37.0,1462.0,330.0,0.0,100
11232,1,1,1,1,1,32.0,32.0,1699.0,292.0,1.0,100
11233,1,1,1,1,1,62.0,62.0,3415.0,444.0,2.0,100
11234,1,1,1,1,1,74.0,74.0,2870.0,720.0,1.0,100
11235,1,1,1,1,1,39.0,39.0,1753.0,330.0,1.0,100
11236,1,1,1,1,1,123.0,123.0,4600.0,1126.0,1.0,100
11237,1,1,1,1,1,26.0,26.0,1469.0,192.0,1.0,100
11238,1,1,1,1,1,32.0,32.0,2010.0,228.0,0.0,100
11239,1,1,1,1,1,16.0,16.0,802.0,110.0,0.0,100
11241,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11242,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11243,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11245,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11247,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11249,1,1,0,0,1,10.0,10.0,315.0,96.0,1.0,100
11251,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11252,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11256,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11351,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11352,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11354,1,1,1,1,1,18.0,18.0,1253.0,102.0,3.0,100
11355,1,1,1,1,1,34.0,34.0,3453.0,154.0,0.0,100
11356,1,1,1,1,1,17.0,17.0,882.0,150.0,2.0,100
11357,1,1,1,1,1,13.0,13.0,1087.0,72.0,2.0,100
11358,1,1,1,1,1,14.0,14.0,679.0,132.0,1.0,100
11359,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11360,1,1,1,1,1,4.0,4.0,485.0,24.0,0.0,100
11361,1,1,1,1,1,18.0,18.0,1501.0,144.0,0.0,100
11362,1,1,1,1,1,7.0,7.0,349.0,48.0,0.0,100
