facility_id_1,facility_id_2,zipcode,distance_miles
459691,838290,10472,0.042361165492028216
459691,698255,10472,0.002658657451401451
459691,914873,10472,0.034108456876759785
459691,893465,10472,0.034108456876759785
459691,911698,10472,0.042361165492028216
459691,884047,10472,0.030876659323693385
613902,72627,11429,0.05291553896300094
375714,708342,11221,0.05364015339884041
793288,854384,11369,0.057348075084765256
793288,922812,11369,0.04793974388317411
741994,822384,10024,0.0
493444,760518,10466,0.057166486054577345
493444,784751,10466,0.02568847989441332
493444,817710,10466,0.02568847989441332
811837,914944,10460,0.053235854463579695
811837,890084,10460,0.0
692719,739340,10032,0.0
692719,780461,10032,0.05126864628123093
692719,844241,10032,0.05488141404330299
260106,859389,10475,0.04623247965925251
260106,878155,10475,0.0
269182,906016,11207,0.026606844625035344
553818,821230,10453,0.055652934186655754
806127,886483,11377,0.04836659956953986
808817,824251,10027,0.017080493955535955
869382,901469,10034,0.054008649864762816
769035,877737,10452,0.0
769035,873138,10452,0.04213230839146442
769035,801831,10452,0.014596282918151494
769035,839395,10452,0.04213230839146442
769035,799638,10452,0.039475468049244
769035,821523,10452,0.04322804849908714
769035,901909,10452,0.04213230839146442
769035,894194,10452,0.0
769035,889546,10452,0.044410891571876124
873482,908746,11208,0.0553499135129716
799391,883522,10460,0.014733079646917164
713115,725643,10456,0.0
713115,875110,10456,0.025334523030240745
874678,891045,10458,0.006744668105617515
874678,890797,10458,0.020436114354125765
843137,872837,11231,0.0
260924,654100,10040,0.022935301550786075
260924,646482,10040,0.008785445809850804
260924,612137,10040,0.0172655376345568
260924,288814,10040,0.008785445809850804
260924,761504,10040,0.029934337310915316
260924,749139,10040,0.0
260924,518452,10040,0.02073171727628871
260924,910260,10040,0.008785445809850804
260924,893391,10040,0.04226066159619025
845599,876064,10463,0.05827895062272142
845599,862281,10463,0.059463617837770974
845599,920848,10463,0.0217359722693128
162041,653802,11221,0.03495125695659788
162041,199442,11221,0.038421645829145534
737730,795608,10453,0.024167547719753022
737730,905411,10453,0.013942616338920301
737730,897103,10453,0.01839049969885452
737730,883996,10453,0.04655293681097581
214007,327715,11375,0.030535501328161792
535618,652938,11106,0.05968767296870523
535618,838773,11106,0.013695911020488201
535618,842313,11106,0.03618208984131237
535618,909803,11106,0.00975428750167471
535618,910915,11106,0.043799358528154794
608450,858059,10468,0.04084792841445593
608450,811914,10468,0.04911528946650514
608450,848891,10468,0.04911528946650514
608450,887317,10468,0.05829025629690676
608450,894352,10468,0.05829025629690676
680827,680834,11215,0.012315137667447858
680827,892493,11215,0.01962619934397343
680827,891417,11215,0.01962619934397343
680827,915072,11215,0.02059708703095058
826093,892220,11215,0.049615838144577984
837880,893775,10457,0.0523459820626583
704694,752820,10455,0.03454876886486411
704694,819086,10455,0.03454876886486411
704694,751513,10455,0.006226115971531352
704694,817403,10455,0.03454876886486411
704694,709658,10455,0.04803358255753997
357777,816650,10452,0.04787851564641547
817838,876364,10459,0.03689231677468221
817838,901657,10459,0.05017330166490582
51722,747475,10002,0.0
51722,800085,10002,0.0
350539,838028,11231,0.044596929346506074
350539,557383,11231,0.03714310117554002
350539,558414,11231,0.04083756156399621
449624,634675,10454,0.0
459796,704694,10455,0.03454876886486411
459796,752820,10455,0.0
459796,819086,10455,0.0
459796,751513,10455,0.036740390825038514
459796,669075,10455,0.0
459796,521843,10455,0.030486643424394288
459796,817403,10455,0.0
459796,629468,10455,0.04080287151047802
459796,621637,10455,0.0262799791948339
459796,744759,10455,0.05002661259057713
219359,759571,10460,0.049789105195689846
219359,56481,10460,0.04168275633680709
219359,843335,10460,0.05213322823036986
716269,73105,11221,0.0
863654,881650,10453,0.04199852666202932
863654,896840,10453,0.04199852666202932
863654,885583,10453,0.054849462276382446
863654,883996,10453,0.01893440018758284
863654,896683,10453,0.04199852666202932
605901,821443,10472,0.0
605901,831652,10472,0.05237719655116131
362255,379503,10452,0.04654923175359122
362255,921631,10452,0.0
822040,880914,11212,0.02960290547214769
734981,885732,10454,0.020052604961824646
217511,349917,10452,0.058682416659801534
217511,629294,10452,0.044410891571876124
217511,534680,10452,0.04088929302887773
217511,769035,10452,0.044410891571876124
217511,372988,10452,0.04656235643636796
217511,877737,10452,0.044410891571876124
217511,765956,10452,0.04656235643636796
217511,868357,10452,0.058682416659801534
217511,252756,10452,0.04088929302887773
217511,375599,10452,0.04088929302887773
