facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cap1,cap2,cap3,cap10_cum,cap15_cum,cap20_cum,U_f_realistic,coef1,coef2,coef3,expand_low_band,expand_mid_band,expand_high_band,selected_cost_band,u_under5,expand_total,expansion_cost,under5_equipment_cost_expansion,total_expansion_related_cost
237212,The Salvation Army @ Sunset Gains After School Program,SACC,11220,40.644657,-74.009845,60,0,6,3,3,6,9,12,12,533.3333333333334,733.3333333333334,1333.3333333333333,6.0,3.0,0.0,10_15_pct,9.0,9.0,5400.0,900.0,6300.0
331136,La Asociacion Benefica Cutural Father Billini,SACC,11368,40.7545,-73.863271,105,0,10,5,6,10,15,21,21,390.4761904761905,590.4761904761905,1190.4761904761904,10.0,5.0,0.0,10_15_pct,15.0,15.0,6857.142857142857,1500.0,8357.142857142857
715176,"Brooks, Glenford",GFDC,10302,40.633442,-74.142443,16,12,1,1,1,1,2,3,3,1450.0,1650.0,2250.0,1.0,0.0,0.0,0_10_pct,1.0,1.0,1450.0,100.0,1550.0
811553,"The Child Center of NY, Inc.",SACC,11692,40.594991,-73.787624,144,0,14,7,7,14,21,28,28,338.8888888888889,538.8888888888889,1138.888888888889,12.0,-0.0,-0.0,0_10_pct,12.0,12.0,4066.666666666667,1200.0,5266.666666666667
555644,"ASPIRA OF NEW YORK, INC.",SACC,10455,40.812732,-73.905938,164,0,16,8,8,16,24,32,32,321.9512195121951,521.9512195121952,1121.9512195121952,16.0,8.0,0.0,10_15_pct,24.0,24.0,9326.829268292684,2400.0,11726.829268292684
709528,University Settlement @ MS 034,SACC,10009,40.726193,-73.974859,81,0,8,4,4,8,12,16,16,446.9135802469136,646.9135802469136,1246.9135802469136,8.0,0.0,0.0,0_10_pct,8.0,8.0,3575.308641975309,800.0,4375.308641975309
73285,Good Shepherd Services @ PS 32,SACC,11231,40.680419,-73.991823,230,0,23,11,12,23,34,46,46,286.95652173913044,486.9565217391304,1086.9565217391305,23.0,11.0,12.0,15_20_pct,46.0,46.0,25000.0,4600.0,29600.0
180322,St. Christopher - Ottilie/P.S. 35,SACC,11233,40.681812,-73.935556,208,0,20,11,10,20,31,41,41,296.15384615384613,496.15384615384613,1096.1538461538462,20.0,11.0,-0.0,10_15_pct,31.0,31.0,11380.76923076923,3100.0,14480.76923076923
72870,"Kips Bay Boys Club, Inc.",SACC,10473,40.817605,-73.856893,222,0,22,11,11,22,33,44,44,290.0900900900901,490.0900900900901,1090.09009009009,22.0,-0.0,-0.0,0_10_pct,22.0,22.0,6381.981981981982,2200.0,8581.981981981982
724276,Women's Housing and Economic Development Corporation,SACC,10452,40.83581,-73.919914,363,0,36,18,18,36,54,72,72,255.0964187327824,455.0964187327823,1055.0964187327825,36.0,18.0,-0.0,10_15_pct,54.0,54.0,17375.206611570247,5400.0,22775.206611570247
