zipcode,pop_0_5,pop_6_12,child_pop_0_12,employment_rate,average_income,employment_missing_flag,income_missing_flag,pop_0_5_missing_flag,pop_6_12_missing_flag,child_pop_0_12_missing_flag,high_demand,total_threshold_rule,req_total,req_under5,existing_total,existing_under5,n_active_facilities,gap_total,gap_under5,is_desert_total_before,is_under5_short_before,needs_intervention_before
10150,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10151,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10152,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10153,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10154,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10155,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10156,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10157,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10158,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10159,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10160,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10161,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10162,134.0,17.0,151.0,0.4990151017728168,137335.52631578947,0,0,0,0,0,0,50.33333333333333,51,90,0.0,0.0,0.0,51.0,90.0,1,1,1
10163,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10164,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10165,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10166,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,39.0,0.0,1.0,0.0,0.0,0,0,0
10167,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10168,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10169,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10170,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10171,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10172,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
